,run_id,index,zmq_version_string,benchmark_type,helics_version_string,helics_version,zmq_version,path,compiler_info_string,generator,system,system_version,platform,cxx_compiler,cxx_compiler_version,load_avg,host_processor,host_processor_string,date,host_name,num_cpus,mhz_per_cpu,cpu_scaling_enabled,library_build_type,build_flags_string,type,level,size,num_sharing,filter_location,iterations,repetition_index,repetitions,run_type,threads,time_unit
0,6b9dk,15671, ZMQ v4.3.2,full,2.3.1-benchmark_old_cmake-g5c2e1f79 (2019-11-30),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-30,Unix Makefiles  Linux-5.2.15-200.fc30.x86_64:GNU-9.2.1,Unix Makefiles,Linux,5.2.15-200.fc30.x86_64:,,GNU,9.2.1,"[1.33, 0.33, 0.14]",x86_64,Intel(R) Core(TM) i3-8350K CPU @ 4.00GHz,2019-11-30 11:53:16,localhost.localdomain,4,4000,True,release,  -O2 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Instruction,1,32000000,1,nan,2,0,0,iteration,1,s
1,7vGM3,37608, ZMQ v4.3.2,full,2.4.2-develop-ga0b71ccf-dirty (2020-04-10),2.4.2,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-10,Visual Studio 15 2017 x64 Windows-10.0.17763:MSVC-19.16.27034.0,Visual Studio 15 2017,Windows,10.0.17763,x64,MSVC,19.16.27034.0,[],AMD64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2020-04-10 10:23:28,STEADMAN,8,3492,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,10485760000,8,source,1,0,0,iteration,1,s
2,882HL,30267, ZMQ v4.3.2,full,2.3.1-develop-g8ea9bfa5-dirty (2020-01-09),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-01-09,Visual Studio 15 2017 x64 Windows-10.0.17763:MSVC-19.16.27034.0,Visual Studio 15 2017,Windows,10.0.17763,x64,MSVC,19.16.27034.0,[],AMD64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2020-01-10 17:01:28,STEADMAN,8,3492,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,2,262144000,2,nan,1,0,0,iteration,1,s
3,8vGM3,41204, ZMQ v4.3.2,full,2.4.2-develop-ga0b71ccf-dirty (2020-04-10),2.4.2,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-20,Visual Studio 15 2017 x64 Windows-10.0.17763:MSVC-19.16.27034.0,Visual Studio 15 2017,Windows,10.0.17763,x64,MSVC,19.16.27034.0,[],AMD64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2020-04-20 12:57:52,STEADMAN,8,3492,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,10485760000,8,nan,1,0,0,iteration,1,s
4,BBHgh,10542, ZMQ v4.3.1,full,2.3.1-benchmark_old_cmake-g1855105d-dirty (2019-11-28),2.3.1,4.3.1,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-28,MSYS Makefiles Windows-10.0.18362:GNU-9.2.0,MSYS Makefiles,Windows,10.0.18362,,GNU,9.2.0,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-28 22:31:18,SIRIUS,32,3394,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Unified,3,8388608000,8,nan,1,0,0,iteration,1,s
5,EcAaj,19184, ZMQ v4.2.5,full,2.3.1-benchmark_old_cmake-g31d3ec94-dirty (2019-12-01),2.3.1,4.2.5,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-01,Ninja  Linux-4.15.0-65-generic:GNU-7.4.0,Ninja,Linux,4.15.0-65-generic:,,GNU,7.4.0,"[0.73, 0.34, 0.38]",x86_64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-12-01 06:14:38,UbuntuVirt,8,3394,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Instruction,1,64000,1,nan,1,0,0,iteration,1,s
6,FBUjv,25716, ZMQ v4.1.5,full,2.3.1-develop-g1020c1f0-dirty (2019-12-16),2.3.1,4.1.5,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-16,Unix Makefiles  Linux-3.10.0-1062.1.1.1chaos.ch6.x86_64:GNU-4.9.3,Unix Makefiles,Linux,3.10.0-1062.1.1.1chaos.ch6.x86_64:,,GNU,4.9.3,"[0.4, 3.99, 15.93]",x86_64,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2019-12-17 00:04:30,quartz3062,72,2101,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Unified,3,46080000000,36,nan,1,0,0,iteration,1,s
7,FOOua,17160, ZMQ v4.3.2,full,2.3.1-benchmark_old_cmake-g5c2e1f79 (2019-11-30),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-30,Unix Makefiles  Linux-5.2.15-200.fc30.x86_64:Clang-8.0.0,Unix Makefiles,Linux,5.2.15-200.fc30.x86_64:,,Clang,8.0.0,"[7.78, 8.33, 5.44]",x86_64,Intel(R) Core(TM) i3-8350K CPU @ 4.00GHz,2019-11-30 20:37:47,localhost.localdomain,4,4000,True,debug,  -O2 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Instruction,1,32000000,1,nan,1,0,0,iteration,1,s
8,Gc8Pe,42699, ZMQ v4.3.2,full,2.4.2-develop-ga0b71ccf-dirty (2020-04-21),2.4.2,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-21,Visual Studio 15 2017 x64 Windows-10.0.17763:MSVC-19.16.27034.0,Visual Studio 15 2017,Windows,10.0.17763,x64,MSVC,19.16.27034.0,[],AMD64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2020-04-21 20:05:19,STEADMAN,8,3492,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,10485760000,8,nan,1,0,0,iteration,1,s
9,HODDO,23523, ZMQ v4.3.2,full,2.3.1-develop-g99ccc3ff-dirty (2019-12-06),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-06,Visual Studio 15 2017 x64 Windows-10.0.17763:MSVC-19.12.25835.0,Visual Studio 15 2017,Windows,10.0.17763,x64,MSVC,19.12.25835.0,[],AMD64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2019-12-06 14:02:26,STEADMAN,8,3492,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,10485760000,8,nan,1,0,0,iteration,1,s
