,run_id,time_unit,zmq_version,benchmark_type,helics_version_string,helics_version,zmq_version_string,path,compiler_info_string,generator,system,system_version,platform,cxx_compiler,cxx_compiler_version,build_flags_string,host_processor,host_processor_string,date,host_name,num_cpus,mhz_per_cpu,cpu_scaling_enabled,load_avg,library_build_type,type,level,size,num_sharing,filter_location,iterations,repetition_index,repetitions,run_type,threads
0,1RRf0,s,4.3.2,key,2.4.1-develop-gf9440720 (2020-03-20),2.4.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-03-20,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-03-20 09:28:11,4cd98bc2937d,36,3364,False,"[10.37, 12.1, 15.08]",debug,Unified,2.0,1024000000.0,2.0,,1,0,0,iteration,1
1,1mZZe,s,4.3.2,key,2.4.0-develop-ge5c3ab6a-dirty (2020-02-23),2.4.0, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-02-23,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-02-23 09:24:59,bf2086b03df7,36,3352,False,"[3.3, 12.14, 18.74]",debug,Unified,3.0,25344000000.0,36.0,,1,0,0,iteration,1
2,2y488,s,4.3.2,key,2.3.1-develop-g807f55eb (2019-12-01),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-01,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2019-12-01 09:24:49,93497bbe2b27,36,3399,False,"[20.81, 20.94, 25.27]",debug,Unified,2.0,1024000000.0,2.0,,1,0,0,iteration,1
3,3nJ8Q,s,4.3.2,key,2.4.1-develop-gb4306083 (2020-03-15),2.4.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-03-15,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-03-15 09:28:13,d3132b85b85c,36,3357,False,"[11.12, 6.48, 5.09]",debug,Unified,2.0,1024000000.0,2.0,,1,0,0,iteration,1
4,4jbrR,s,4.3.2,key,2.5.0-develop-g7d965585 (2020-04-17),2.5.0, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-17,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-04-17 09:24:34,8f946ee2fd4f,36,3400,False,"[9.85, 14.95, 17.09]",debug,Unified,3.0,25344000000.0,36.0,,1,0,0,iteration,1
5,5y6D4,s,4.3.2,key,2.3.1-develop-gb87a2e0f (2020-01-17),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-01-17,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-01-17 09:24:06,194155fa2f52,36,3400,False,"[10.38, 18.29, 19.37]",debug,Data,1.0,32000000.0,2.0,,1,0,0,iteration,1
6,6GibT,s,4.3.2,key,2.3.1-develop-gb668f894 (2019-12-08),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-08,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2019-12-08 09:18:44,707102a26e83,36,3388,False,"[4.93, 4.96, 5.22]",debug,Unified,3.0,25344000000.0,36.0,,1,0,0,iteration,1
7,6rplN,s,4.3.2,key,2.5.0-develop-g4e995dea (2020-05-08),2.5.0, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-05-08,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.3.0,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.3.0,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-05-08 09:25:47,fe73309c55b6,36,3401,False,"[17.99, 15.5, 16.09]",debug,Unified,3.0,25344000000.0,36.0,,1,0,0,iteration,1
8,8xgzi,s,4.3.2,key,2.4.2-develop-g0a92a700 (2020-04-14),2.4.2, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-14,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-04-14 09:30:29,cd45a5b39807,36,3400,False,"[53.53, 37.15, 33.75]",debug,Instruction,1.0,32000000.0,2.0,,1,0,0,iteration,1
9,BthBH,s,4.3.2,key,2.3.1-develop-g2ab6cea6-dirty (2020-01-07),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-01-07,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-01-07 09:28:09,b8cbbec039c0,36,3400,False,"[16.64, 14.53, 10.04]",debug,Data,1.0,32000000.0,2.0,,1,0,0,iteration,1
